RELATÓRIO DE EXTRAÇÃO — EXTRACTOR INTELIGENTE
================================================================================
Mobile.Suit.Z.Gundam.S01E01_PTBR.mkv | Track ID: 2 | Nome: Português (Gemma 4B) | Formato: ASS | Saída: Mobile.Suit.Z.Gundam.S01E01_PTBR_ENG.ass
Mobile.Suit.Z.Gundam.S01E02_PTBR.mkv | Track ID: 2 | Nome: Português (Gemma 4B) | Formato: ASS | Saída: Mobile.Suit.Z.Gundam.S01E02_PTBR_ENG.ass
Mobile.Suit.Z.Gundam.S01E03_PTBR.mkv | Track ID: 2 | Nome: Português (Gemma 4B) | Formato: ASS | Saída: Mobile.Suit.Z.Gundam.S01E03_PTBR_ENG.ass
Mobile.Suit.Z.Gundam.S01E04_PTBR.mkv | Track ID: 2 | Nome: Português (Gemma 4B) | Formato: ASS | Saída: Mobile.Suit.Z.Gundam.S01E04_PTBR_ENG.ass
Mobile.Suit.Z.Gundam.S01E05_PTBR.mkv | Track ID: 2 | Nome: Português (Gemma 4B) | Formato: ASS | Saída: Mobile.Suit.Z.Gundam.S01E05_PTBR_ENG.ass
Mobile.Suit.Z.Gundam.S01E06_PTBR.mkv | Track ID: 2 | Nome: Português (Gemma 4B) | Formato: ASS | Saída: Mobile.Suit.Z.Gundam.S01E06_PTBR_ENG.ass
Mobile.Suit.Z.Gundam.S01E07_PTBR.mkv | Track ID: 2 | Nome: Português (Gemma 4B) | Formato: ASS | Saída: Mobile.Suit.Z.Gundam.S01E07_PTBR_ENG.ass
Mobile.Suit.Z.Gundam.S01E08_PTBR.mkv | Track ID: 2 | Nome: Português (Gemma 4B) | Formato: ASS | Saída: Mobile.Suit.Z.Gundam.S01E08_PTBR_ENG.ass
Mobile.Suit.Z.Gundam.S01E09_PTBR.mkv | Track ID: 2 | Nome: Português (Gemma 4B) | Formato: ASS | Saída: Mobile.Suit.Z.Gundam.S01E09_PTBR_ENG.ass
Mobile.Suit.Z.Gundam.S01E10_PTBR.mkv | Track ID: 2 | Nome: Português (Gemma 4B) | Formato: ASS | Saída: Mobile.Suit.Z.Gundam.S01E10_PTBR_ENG.ass
Mobile.Suit.Z.Gundam.S01E11_PTBR.mkv | Track ID: 2 | Nome: Português (Gemma 4B) | Formato: ASS | Saída: Mobile.Suit.Z.Gundam.S01E11_PTBR_ENG.ass
Mobile.Suit.Z.Gundam.S01E12_PTBR.mkv | Track ID: 2 | Nome: Português (Gemma 4B) | Formato: ASS | Saída: Mobile.Suit.Z.Gundam.S01E12_PTBR_ENG.ass
Mobile.Suit.Z.Gundam.S01E13_PTBR.mkv | Track ID: 2 | Nome: Português (Gemma 4B) | Formato: ASS | Saída: Mobile.Suit.Z.Gundam.S01E13_PTBR_ENG.ass
Mobile.Suit.Z.Gundam.S01E14_PTBR.mkv | Track ID: 2 | Nome: Português (Gemma 4B) | Formato: ASS | Saída: Mobile.Suit.Z.Gundam.S01E14_PTBR_ENG.ass
Mobile.Suit.Z.Gundam.S01E15_PTBR.mkv | Track ID: 2 | Nome: Português (Gemma 4B) | Formato: ASS | Saída: Mobile.Suit.Z.Gundam.S01E15_PTBR_ENG.ass
Mobile.Suit.Z.Gundam.S01E16_PTBR.mkv | Track ID: 2 | Nome: Português (Gemma 4B) | Formato: ASS | Saída: Mobile.Suit.Z.Gundam.S01E16_PTBR_ENG.ass
Mobile.Suit.Z.Gundam.S01E17_PTBR.mkv | Track ID: 2 | Nome: Português (Gemma 4B) | Formato: ASS | Saída: Mobile.Suit.Z.Gundam.S01E17_PTBR_ENG.ass
Mobile.Suit.Z.Gundam.S01E18_PTBR.mkv | Track ID: 2 | Nome: Português (Gemma 4B) | Formato: ASS | Saída: Mobile.Suit.Z.Gundam.S01E18_PTBR_ENG.ass
Mobile.Suit.Z.Gundam.S01E19_PTBR.mkv | Track ID: 2 | Nome: Português (Gemma 4B) | Formato: ASS | Saída: Mobile.Suit.Z.Gundam.S01E19_PTBR_ENG.ass
Mobile.Suit.Z.Gundam.S01E20_PTBR.mkv | Track ID: 2 | Nome: Português (Gemma 4B) | Formato: ASS | Saída: Mobile.Suit.Z.Gundam.S01E20_PTBR_ENG.ass
Mobile.Suit.Z.Gundam.S01E21_PTBR.mkv | Track ID: 2 | Nome: Português (Gemma 4B) | Formato: ASS | Saída: Mobile.Suit.Z.Gundam.S01E21_PTBR_ENG.ass
Mobile.Suit.Z.Gundam.S01E22_PTBR.mkv | Track ID: 2 | Nome: Português (Gemma 4B) | Formato: ASS | Saída: Mobile.Suit.Z.Gundam.S01E22_PTBR_ENG.ass
