[10:19:07.027] [DEBUG   ] Arquivo de configuração gerado com sucesso: remux_config_2026-06-19_10-19-07.txt
[10:19:07.028] [DEBUG   ] Testando conectividade e acesso ao binário mkvmerge...
[10:19:07.063] [INFO    ] SUCESSO: mkvmerge funcional: mkvmerge v99.0 ('Buka') 64-bit
[10:19:07.063] [DEBUG   ] Validando caminhos de diretórios locais...
[10:19:07.064] [INFO    ] SUCESSO: [OK] Toda a infraestrutura e permissões foram validadas com sucesso!
[10:19:07.064] [DEBUG   ] Escaneando diretório: E:\animes\DETONATOR ORGUN
[10:19:07.064] [INFO    ] Encontrados 3 arquivos de vídeo com extensão .mkv.
[10:19:07.064] [DEBUG   ] Iniciando verificação de correspondência na pasta de legendas...
[10:19:07.064] [WARNING ]   Legenda ausente para: [AnimesAmrita] Detonador Orgun 01.mkv (esperado: [AnimesAmrita] Detonador Orgun 01_PTBR.ass)
[10:19:07.064] [WARNING ]   Legenda ausente para: [AnimesAmrita] Detonador Orgun 02.mkv (esperado: [AnimesAmrita] Detonador Orgun 02_PTBR.ass)
[10:19:07.065] [WARNING ]   Legenda ausente para: [AnimesAmrita] Detonador Orgun 03.mkv (esperado: [AnimesAmrita] Detonador Orgun 03_PTBR.ass)
[10:19:07.065] [WARNING ] A fila de processamento está vazia. Nenhuma ação será tomada.
[10:19:07.065] [DEBUG   ] Dicionário estatístico persistido: remux_stats_2026-06-19_10-19-07.json
